crash_date,case_id,crash_id,lat,lon,geocoded,fatality,serious_injury
2012-01-08,11-3180937,12805592,30.302436,-97.660712,Here,,Y
2012-09-22,11-1601753,12839576,30.26759,-97.74299,Here,,Y
2012-07-16,111280409,12610419,30.252508,-97.711857,Here,,Y
2012-08-07,120731212,12610098,30.31457,-97.70356,Here,,Y
2012-01-16,12-3370242,12629633,30.228188,-97.778033,Here,,Y
2012-01-12,123591255,12629122,35.67019,-101.39646,Here,,Y
2012-03-26,123650316,12109237,30.27255,-97.75352,Here,,Y
2011-11-14,501089,12079676,30.252848,-97.806106,Here,,Y
2011-06-09,11-0580461,12646908,30.40832,-97.74808,Here,,Y
2011-05-08,11-1251018,13118102,30.21125,-97.75542,Here,,Y
2012-03-13,111280633,13068899,30.2057,-97.73819,Here,,Y
2012-12-02,12-0430805,13067871,30.45415,-97.78254,Here,,Y
2012-12-24,11-3190776,12561210,30.26759,-97.74299,Here,,Y
2012-12-30,122130157,12077629,30.26759,-97.74299,Here,,Y
2012-02-19,122390298,12057754,30.41358,-97.67568,Here,,Y
2011-02-27,123400968,12057582,30.218573,-97.75455,Here,,Y
2011-05-05,112742070,12559239,30.327675,-97.81075,Here,,Y
2011-05-08,11-0182179,12601195,30.23131,-97.78956,Here,,Y
2012-02-12,111251522,12878754,30.31984,-97.69208,Here,,Y
2011-11-15,11-1990876,12870310,30.23331,-97.8108,Here,,Y
2012-07-31,110671889,13039581,30.29005,-97.62819,Here,,Y
2012-08-26,110451576,12303195,30.266952,-97.670843,Here,,Y
2012-12-05,10/303110,11945454,30.30765,-97.73534,Here,,Y
2011-10-01,10-3531501,12057486,30.45674,-97.79299,Here,,Y
2011-01-18,110342007,12265699,30.34926,-97.750401,Here,,Y
2011-01-01,111371846,11947092,30.29425,-97.72014,Here,,Y
2011-05-05,11-2401499,11918926,30.37471,-97.74042,Here,,Y
2011-07-18,110070244,11376820,30.24357,-97.76325,Here,,Y
2011-03-08,10-3230256,11896140,30.47384,-97.80035,Here,,Y
2011-02-14,10-3431310,11895187,30.33127,-97.73177,Here,,Y
2010-05-10,102220550,12079030,30.399263,-97.668648,Here,,Y
2010-12-19,10-2341645,12245174,30.44996,-97.786956,Here,,Y
2011-02-03,110831966,11884018,30.39958,-97.67426,Here,,Y
2011-05-17,102381739,11793318,30.34437,-97.71525,Here,,Y
2011-08-28,110912802,11831547,30.173785,-97.807353,Here,,Y
